id_source,id_target,fake_news_shared_by_source,fake_news_shared_by_target,real_news_shared_by_source,real_news_shared_by_target
31,10,0,3,1,0
10,240,3,0,0,1
437,10,1,3,0,0
10,740,3,1,0,0
789,10,1,3,0,0
1112,10,0,3,1,0
10,2278,3,1,0,0
10,2737,3,1,0,0
3408,10,0,3,1,0
10,3933,3,2,0,0
10,5147,3,2,0,0
10,5337,3,1,0,0
10,6955,3,0,0,2
10,8113,3,1,0,0
10,8850,3,1,0,0
10475,10,1,3,0,0
10,10500,3,0,0,1
10,11006,3,0,0,1
10,12259,3,0,0,1
12956,10,0,3,13,0
10,13111,3,0,0,2
10,13539,3,1,0,0
10,13812,3,3,0,0
10,13986,3,0,0,1
21,1380,1,1,0,1
21,2734,1,0,0,1
2972,21,0,1,1,0
21,5680,1,2,0,0
21,8135,1,0,0,1
12672,21,0,1,1,0
31,10,0,3,1,0
31,45,0,1,1,0
31,390,0,1,1,0
31,606,0,1,1,0
31,762,0,2,1,0
31,801,0,1,1,0
31,960,0,0,1,1
31,1031,0,1,1,0
31,1168,0,0,1,1
1307,31,2,0,0,1
31,1445,0,2,1,3
31,1916,0,0,1,1
31,2196,0,1,1,0
31,2207,0,1,1,0
31,2214,0,1,1,0
31,2360,0,1,1,0
2429,31,0,0,2,1
31,2723,0,0,1,1
31,2849,0,0,1,1
31,2915,0,1,1,0
3306,31,5,0,0,1
31,3383,0,1,1,1
31,3592,0,0,1,1
31,3717,0,0,1,1
31,3802,0,0,1,1
31,4276,0,2,1,0
31,4368,0,1,1,0
4461,31,0,0,1,1
31,4596,0,0,1,1
31,4831,0,1,1,0
31,4833,0,1,1,0
31,5199,0,1,1,0
31,5452,0,0,1,3
5906,31,0,0,1,1
31,5911,0,0,1,1
31,6355,0,1,1,0
31,6401,0,0,1,1
31,6436,0,1,1,0
6821,31,0,0,1,1
31,6869,0,0,1,3
31,7021,0,0,1,1
31,7048,0,0,1,1
7784,31,0,0,1,1
31,7904,0,0,1,2
31,7950,0,0,1,1
31,7964,0,2,1,0
31,7991,0,2,1,0
31,8174,0,0,1,1
31,8265,0,0,1,1
31,8293,0,2,1,0
8338,31,0,0,4,1
31,8609,0,0,1,5
31,8769,0,1,1,0
8972,31,0,0,1,1
31,9044,0,0,1,1
31,9905,0,1,1,0
31,10825,0,1,1,0
31,10837,0,1,1,0
31,10980,0,1,1,0
31,11027,0,0,1,1
11305,31,1,0,0,1
31,11328,0,1,1,0
31,11707,0,0,1,3
31,12376,0,1,1,0
31,12439,0,0,1,1
31,12589,0,0,1,1
31,12654,0,0,1,1
31,12660,0,0,1,1
31,12675,0,0,1,1
31,12701,0,1,1,0
31,12874,0,1,1,0
31,13059,0,1,1,0
13103,31,1,0,0,1
31,13266,0,0,1,1
31,13296,0,0,1,2
31,13364,0,1,1,0
31,13522,0,0,1,1
31,13841,0,0,1,1
31,14026,0,1,1,0
31,14187,0,2,1,0
31,14374,0,6,1,1
14543,31,0,0,1,1
31,15193,0,1,1,0
31,15204,0,1,1,0
2972,34,0,0,1,1
5680,34,2,0,0,1
34,5764,0,3,1,0
34,5954,0,0,1,1
6183,34,0,0,1,1
34,6792,0,0,1,2
8135,34,0,0,1,1
9196,34,1,0,0,1
11843,34,2,0,0,1
12672,34,0,0,1,1
36,718,2,2,0,0
36,789,2,1,0,0
36,830,2,2,0,0
36,996,2,2,0,0
36,3845,2,0,0,2
36,4228,2,0,0,1
36,4276,2,2,0,0
36,4417,2,0,0,1
5015,36,1,2,0,0
36,6345,2,0,0,1
36,6984,2,0,0,1
36,7048,2,0,0,1
36,7746,2,1,0,0
36,7753,2,1,0,0
36,7970,2,0,0,1
36,8728,2,0,0,1
36,9905,2,1,0,0
36,10110,2,2,0,0
36,10690,2,3,0,0
36,12701,2,1,0,0
36,13266,2,0,0,1
36,13534,2,1,0,0
36,13823,2,0,0,1
36,13901,2,0,0,1
36,14551,2,0,0,2
36,14741,2,2,0,0
789,42,1,1,0,0
31,45,0,1,1,0
437,45,1,1,0,0
740,45,1,1,0,0
789,45,1,1,0,0
45,1523,1,2,0,0
1973,45,1,1,0,0
45,2738,1,1,0,0
3592,45,0,1,1,0
45,3887,1,3,0,0
45,4368,1,1,0,0
45,4646,1,1,0,2
7549,45,1,1,0,0
10952,45,1,1,0,0
45,11707,1,0,0,3
12956,45,0,1,13,0
13111,45,0,1,2,0
584,51,1,4,0,4
789,51,1,4,0,4
5858,51,0,4,2,4
7549,51,1,4,0,4
51,7963,4,0,4,1
7970,51,0,4,1,4
9100,51,1,4,0,4
11676,51,3,4,0,4
51,12906,4,0,4,1
52,1580,0,0,1,1
52,3802,0,0,1,1
52,3887,0,3,1,0
