id,title,news_type
1,Another Terrorist Attack in NYC…Why Are we STILL Being Politically Correct – Eagle Rising,Real
2,Hillary Clinton on police shootings: 'too many people have lost their lives who shouldn't have',Real
3,"Critical counties: Wake County, NC, could put up a fight",Real
4,NFL Superstar Unleashes 4 Word Bombshell on Reporter Pushing Him to Protest Anthem,Real
5,Obama in NYC: 'We all have a role to play' in terror fight after suspected bombings,Real
6,Obama weighs in on the debate,Real
7,Donald Trump's rise puts Ted Cruz in a bind,Real
8,More Milestone Moments for Donald Trump! – Eagle Rising,Real
9,"Georgia poll: Donald Trump, Hillary Clinton in tight race",Real
10,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real
11,"Obama To UN: ‘Giving Up Liberty, Enhances Security In America…’ [VIDEO]",Real
12,Trump vs. Clinton: A Fundamental Clash over How the Economy Works,Real
13,"President Obama Vetoes 9/11 Victims Bill, Setting Up Showdown With Congress",Real
14,"CHAOS! NC Protest MOB Ambushes Female Truck Driver, Loots Truck, Sets Cargo On Fire – No One Helps!? [VIDEO]",Real
15,10 Moments That Mattered From Hillary Clinton and Donald Trump's First Debate,Real
16,Young Girl's Emotional Council Speech Laments 'Shame' of Fatal Charlotte Shooting,Real
17,Jeb Bush to lecture at Harvard this fall,Real
18,Clinton vs. Trump: The debate before the debate,Real
19,Is Hillary in a No-Win Situation?,Real
20,Johnson: 'I’m going to sleep well at the end of all this',Real
21,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real
22,Senate Dems Move To Force Trump To Release His Tax Returns,Real
23,Dem congressman to IRS: Audit the Trump Foundation,Real
24,Armed Intruders Break in House…Armed Resident Responds – Eagle Rising,Real
25,"Post-debate, Trump team hits moderator Holt for 'some hostile questions'",Real
26,One Critically Wounded As Charlotte Police Endure Second Night Of RIOTS… [VIDEO],Real
27,Rouhani: Iran deal able to weather the election,Real
28,“How Can we LEAD When we Can’t Even Control Our Own Cities?” [VIDEO] – Eagle Rising,Real
29,9 times Ted Cruz insulted Donald Trump before endorsing him,Real
30,"Obama wears hat, breaking ‘Politics 101’ rule on headgear",Real
31,Clinton: ‘The next 50 days will determine the next 50 years’,Real
32,I Was RFK’s Speechwriter. Now I’m Voting for Trump. Here’s Why.,Real
33,NC State Troopers Take A Knee Before Protecting Charlotte – But It Wasn’t To Protest The National Anthem…,Real
34,Sacramento mayor punches pie thrower,Real
35,Megan Rapinoe Punished Over Not Standing For Anthem?,Real
36,Liberals Are Furious When Reality Star Brody Jenner Tells the Truth About Police Shootings on Twitter,Real
37,Donna Brazile slams Trump for not apologizing for birther claims,Real
38,US builds working theory on cause of Syrian airstrike,Real
39,Emmy Host Kimmel Calls Out Dude Who Made Trump A Reality TV Star For Helping Destroy America (VIDEO),Real
40,Trump-Clinton debates will stream on Twitter,Real
41,Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',Real
42,National poll: Clinton leads Trump by 6,Real
43,“Public School Forced My Child To,Real
44,"ABC News – Breaking News, Latest News, Headlines & Videos",Real
45,How to watch the first presidential debate,Real
46,Topics for first presidential debate announced,Real
47,KISS Bassist Gene Simmons on How to Stop Islamic Terrorism,Real
48,"Clinton: Tulsa shooting 'unbearable,' should be 'intolerable'",Real
49,Conway: Trump will explain his Islamic State plan if asked,Real
